29259	45
535	1
84085	1
60636	37
67343	2
43796	2
103307	1
125978	5
102677	1
3966	1
11723	6
10242	1
38037	1
93620	1
56561	4
66174	0
633	1
44117	2
83600	1
30877	53
105305	1
61162	0
985	1
28786	0
131084	1
18663	0
119542	5
68376	10
6564	59
52142	1
104862	0
3878	35
4859	1
3001	1
47497	7
109485	1
7138	1
97831	1
95210	1
1246	91
107587	1
28916	2
105827	1
8146	1
89869	1
29592	4
104422	1
16558	0
4231	17
4734	1
69616	1
68058	3
103863	2
5310	3
96194	9
61160	1
3008	1
52428	0
60875	3
29060	1
99477	2
2830	3
76647	3
12143	11
2046	2
50515	2
72595	1
5334	1
112011	2
85369	1
34849	1
49184	0
89868	1
55764	2
83971	0
2642	14
17911	0
97973	1
115074	0
84872	1
2910	25
70333	1
5801	1
6392	3
52464	1
3859	4
54092	7
36344	1
5122	22
59246	1
78838	1
104446	1
8813	0
66413	1
30030	1
28437	1
98896	3
76639	2
92241	0
37871	1
42889	1
60809	27
40901	2
88169	1
3177	198
699	2
53683	2
104505	1
79217	2
4929	2
29204	3
20172	3
87351	1
118474	1
122720	1
15011	2
5546	6
34624	1
78368	0
69948	1
102	22
5112	1
4634	3
40492	1
89990	1
28947	0
69266	36
85785	1
2042	42
7133	1
101301	1
20713	12
6995	21
29381	3
42989	1
60927	1
2242	8
3042	7
105736	0
38848	2
26032	29
17862	1
121327	4
79381	6
47779	1
120166	4
70354	1
28142	9
1372	87
921	38
85220	1
49731	3
94838	2
81788	1
23324	0
44827	7
121179	2
10111	1
111186	1
2081	2
67175	2
99007	3
35621	0
3264	1
128955	1
78470	53
6307	121
38966	4
1779	1
4543	3
53425	1
32841	0
1348	310
75421	2
4082	46
86731	1
5070	4
6419	8
68261	4
14420	1
77012	2
95781	1
2349	0
1349	128
50712	0
26236	1
119801	1
61254	1
1288	372
75506	1
76635	3
176	1
7277	15
6736	6
104304	3
61757	8
3987	1
5804	2
45857	7
5323	8
5254	5
96802	1
37809	0
131582	1
61799	0
105601	1
766	18
55426	2
8034	112
24342	13
115194	3
8660	127
98850	1
